app_name,customer_transactions_volume,customer_transactions_value,b2c_volume,b2c_value,b2b_volume,b2b_value,on_us_volume,on_us_value,total_volume,total_value,month
Airtel Payments Bank Apps,8.53,2047.45,0,0,0,0,4.69,2682.32,13.22,4729.77,01-Jan-22
Allahabad Bank App,0.02,7.36,0,0,0,0,0,0,0.02,7.36,01-Jan-22
Amazon Pay,73.5,6729.66,0,0,0,0,0,0,73.5,6729.66,01-Jan-22
AU Small Finance Bank App,0.23,81.15,0,0,0,0,0,0,0.23,81.15,01-Jan-22
Axis Bank Apps,6.78,1058.77,40.47,34.25,0,0,0,0,47.25,1093.02,01-Jan-22
Bajaj Finserv,0.24,12.88,0,0,0,0,0,0,0.24,12.88,01-Jan-22
Bank of Baroda Apps,0.71,342.85,0,0,0,0,0,0,0.71,342.85,01-Jan-22
Bank of India App,0.05,20.23,0,0,0,0,0,0,0.05,20.23,01-Jan-22
Bank of Maharashtra App,0.05,12.46,0,0,0,0,0,0,0.05,12.46,01-Jan-22
BHIM,25.82,8511.91,0,0,0,0,0,0,25.82,8511.91,01-Jan-22
Canara Bank App,0.26,98.95,0,0,0,0,0,0,0.26,98.95,01-Jan-22
Central Bank of India App,0.13,47.33,0,0,0,0,0,0,0.13,47.33,01-Jan-22
Citi Bank App,0.09,77.8,0,0,0,0,0,0,0.09,77.8,01-Jan-22
City Union Bank App,0.02,4.92,0,0,0,0,0,0,0.02,4.92,01-Jan-22
Cointab,1.21,179.22,0,0,0,0,0,0,1.21,179.22,01-Jan-22
Cred,10.68,14189.86,0,0,0,0,0,0,10.68,14189.86,01-Jan-22
DBS Digibank App,0.51,186.79,0,0,0,0,0,0,0.51,186.79,01-Jan-22
Dena Bank App,0.02,26.5,0,0,0,0,0,0,0.02,26.5,01-Jan-22
Deutsche Bank App,0.92,61.95,0,0,0,0.13,0,0,0.92,62.08,01-Jan-22
Dhanlaxmi Bank App,0.01,2.95,0,0,0,0,0,0,0.01,2.95,01-Jan-22
Federal Bank App,0.54,109.25,0,0,0,0,0,0,0.54,109.25,01-Jan-22
Fino Payments bank App,0.03,2.79,0,0,0,0,0,0,0.03,2.79,01-Jan-22
Finshell Pay,0.07,3.69,0,0,0,0,0,0,0.07,3.69,01-Jan-22
Google Pay,1584.2,298267.07,0,0,0,0,0,0,1584.2,298267.07,01-Jan-22
HDFC Bank Apps,4.94,1366.89,0,0,0,0,0,0,4.94,1366.89,01-Jan-22
HSBC Bank App,0.08,54.47,0,0.09,0,0,0,0,0.08,54.57,01-Jan-22
ICICI Bank Apps,29.87,8491.18,3.57,215.87,0,0,0,0,33.43,8707.05,01-Jan-22
IDBI Bank App,0.02,12.54,0,0,0,0,0,0,0.02,12.54,01-Jan-22
IDFC Bank App,1.22,316.37,0,0,0,0,0,0,1.22,316.37,01-Jan-22
India Post Payments Bank App,2.65,309.42,0,0,0,0,0,0,2.65,309.42,01-Jan-22
Indian Bank App,0.13,47.42,0,0,0,0,0,0,0.13,47.42,01-Jan-22
IndusInd Bank App,0.74,1218.79,0,0,0,0,0,0,0.74,1218.79,01-Jan-22
Jammu and Kashmir Bank App,0.01,2.47,0,0,0,0,0,0,0.01,2.47,01-Jan-22
Janta Sahakari Bank App,0.01,4.46,0,0,0,0,0,0,0.01,4.46,01-Jan-22
Jio Payments Bank App,2.05,114.39,0,0,0,0,0,0,2.05,114.39,01-Jan-22
Jupiter Money,1.02,156.15,0,0,0,0,0,0,1.02,156.15,01-Jan-22
